"2023-11-09,02:47:20",93.98,88.95,94.551763,83.2441109025
"2023-11-09,03:47:27",93.98,88.9,94.5565625,83.2441109025
"2023-11-09,04:47:34",93.195,88.9,94.568276,83.2441109025
"2023-11-09,05:47:40",92.99,89.28999999999999,94.5493055,83.1883155502
"2023-11-09,06:47:48",92.97,89.205,94.54913450000001,83.1883155502
"2023-11-09,07:47:55",92.9,88.75,94.558048,83.1883155502
"2023-11-09,08:48:04",92.36500000000001,89.13,94.565133,83.1883155502
"2023-11-09,09:48:13",92.42500000000001,89.275,95.553473,83.1883155502
"2023-11-09,10:48:23",92.5,89.425,95.556761,83.1883155502
"2023-11-09,11:48:35",92.48,90.14500000000001,95.97,83.1883155502
"2023-11-09,12:48:48",92.49,89.98,95.97,83.1883155502
"2023-11-09,13:49:00",92.38,90.63,95.99114,83.1883155502
"2023-11-09,14:49:11",92.5,89.95,96.002208,83.1883155502
"2023-11-09,15:49:23",92.8,90.485,96.010968,83.1883155502
"2023-11-09,16:49:35",92.57,90.515,96.005666,83.1883155502
